CustomerID,R,F,M
10106,2.0,29,547.0651515151516
10107,19.0,21,766.117619047619
10108,6.0,23,598.0334782608696
10109,20.0,19,695.9078947368421
10110,28.0,24,468.0720833333333
10111,4.0,19,762.2926315789473
10112,5.0,21,628.8538095238096
10113,3.0,22,638.7004545454546
10114,3.0,21,437.5185714285714
10115,3.0,17,586.4758823529412
10116,18.0,24,794.4641666666666
10117,3.0,25,557.7576
10118,7.0,16,761.331875
10119,1.0,23,586.9252173913044
10120,1.0,19,649.0605263157895
10121,31.0,20,818.9394655172414
10122,5.0,28,634.6117857142857
10123,10.0,25,554.9996
10124,16.0,18,667.4494444444445
10125,48.0,21,598.0409523809524
10126,1.0,27,518.3111111111111
10127,15.0,25,698.0168000000001
10128,5.0,15,726.9406666666667
10129,33.0,14,609.9378571428572
10130,4.0,27,755.6981481481481
10131,28.0,24,697.7379166666666
10132,34.0,16,524.735
10133,4.0,17,680.0888235294118
10134,14.0,20,734.8905
10135,12.0,19,700.2542105263158
10136,49.099999999999966,19,491.72526315789474
10137,23.0,18,360.82666666666665
10138,41.0,17,566.1529411764706
10139,39.0,20,818.9394655172414
10140,1.0,15,758.2193333333332
10141,38.0,24,713.3120833333332
10142,15.0,20,493.0995
10143,2.0,19,613.8052631578947
10144,24.0,23,686.1030434782609
10145,1.0,25,421.3024
10146,3.0,25,650.924
10147,20.0,29,708.9734375
10148,1.0,18,705.0666666666667
10149,9.0,29,636.6256666666667
10150,7.0,26,660.3592307692307
10151,15.0,23,506.33043478260873
10152,20.0,29,690.5755172413793
10153,7.0,19,619.2984210526316
10154,18.0,29,653.8858823529412
10155,17.0,23,532.3995652173913
10156,16.0,25,792.0596
10157,3.0,18,662.5627777777778
10158,8.0,23,593.4213043478261
10159,5.0,27,591.7385185185185
10160,27.0,25,689.322
10161,9.0,22,617.205
10162,1.0,11,818.9394655172414
10163,1.0,18,723.46
10164,13.0,19,723.1084210526316
10165,18.0,23,528.5052173913044
10166,43.0,21,388.9757142857143
10167,8.0,26,748.5184615384616
10168,49.099999999999966,22,488.86434782608694
10169,11.0,26,790.3914814814815
10170,6.0,29,767.6026470588235
10171,18.0,25,818.9394655172414
10172,27.0,28,591.9457142857143
10173,7.0,16,410.48312500000003
10174,26.0,17,671.9323529411765
10175,14.0,17,502.6229411764706
10176,14.0,17,510.65764705882356
10177,11.0,21,744.8528571428571
10178,2.0,17,651.9964705882353
10179,5.0,19,605.0215789473684
10180,23.0,17,529.2135294117647
10181,10.0,20,422.508
10182,49.099999999999966,15,606.4893333333333
10183,49.099999999999966,24,625.8095833333333
10184,11.0,29,818.2971875
10185,24.0,28,818.9394655172414
10186,49.099999999999966,26,805.2992307692307
10187,11.0,29,818.9058620689656
10188,14.0,17,557.2476470588235
10189,37.0,25,707.3560000000001
10190,14.0,19,595.448947368421
10191,9.0,19,727.0894736842106
10192,40.0,28,664.7485714285714
10193,3.0,21,488.7109523809524
10194,3.0,22,599.2177272727272
10195,8.0,21,759.277619047619
10196,4.0,22,635.3009090909092
10197,12.0,28,580.2564285714286
10198,2.0,24,767.7779166666666
10199,8.0,21,432.1295238095238
