InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,price_total
544526,99344,PRODUTO TESTE,35,2011-11-02,40.21,10109,United Kingdom,1407.3500000000001
543461,72369,PRODUTO TESTE,31,2011-11-17,41.02,10030,United Kingdom,1271.6200000000001
538294,70978,PRODUTO TESTE,34,2011-03-18,44.04,10148,United Kingdom,1497.36
541681,35209,PRODUTO TESTE,3,2011-08-26,6.13,10136,United Kingdom,18.39
540844,87035,PRODUTO TESTE,43,2011-07-15,14.99,10184,United Kingdom,644.57
541581,25906,PRODUTO TESTE,4,2011-07-30,48.82,10148,United Kingdom,195.28
541547,97180,PRODUTO TESTE,26,2011-04-24,27.47,10073,United Kingdom,714.22
541752,55304,PRODUTO TESTE,25,2011-10-02,9.23,10193,United Kingdom,230.75
540626,39772,PRODUTO TESTE,7,2011-11-18,25.4,10082,France,177.79999999999998
542214,77536,PRODUTO TESTE,15,2011-09-22,32.47,10065,United Kingdom,487.04999999999995
536148,34263,PRODUTO TESTE,20,2011-02-10,40.7,10074,United Kingdom,814.0
536317,71525,PRODUTO TESTE,32,2011-08-28,2.94,10015,United Kingdom,94.08
544622,74982,PRODUTO TESTE,11,2011-12-31,22.95,10093,United Kingdom,252.45
544183,64293,PRODUTO TESTE,24,2011-07-15,1.52,10159,United Kingdom,36.480000000000004
541270,51577,PRODUTO TESTE,47,2011-12-10,44.46,10037,United Kingdom,2089.62
537571,39591,PRODUTO TESTE,7,2011-05-08,9.11,10092,United Kingdom,63.769999999999996
543033,46339,PRODUTO TESTE,10,2011-11-24,31.43,10025,United Kingdom,314.3
537289,88692,PRODUTO TESTE,1,2011-12-09,28.75,10137,Eire,28.75
539395,42356,PRODUTO TESTE,24,2011-08-16,31.46,10095,United Kingdom,755.04
538968,97046,PRODUTO TESTE,6,2011-09-15,28.39,10066,United Kingdom,170.34
536111,23102,PRODUTO TESTE,41,2011-07-10,35.92,10045,United Kingdom,1472.72
543263,24644,PRODUTO TESTE,11,2011-04-26,31.49,10112,United Kingdom,346.39
540587,39936,PRODUTO TESTE,31,2011-07-15,4.97,10133,United Kingdom,154.07
538846,10267,PRODUTO TESTE,5,2011-12-18,18.66,10188,United Kingdom,93.3
540564,89131,PRODUTO TESTE,12,2011-01-06,27.56,10087,United Kingdom,330.71999999999997
536000,40635,PRODUTO TESTE,4,2011-03-16,16.6,10032,United Kingdom,66.4
539932,19194,PRODUTO TESTE,25,2011-07-02,38.14,10166,United Kingdom,953.5
543473,99435,PRODUTO TESTE,22,2011-05-12,7.76,10019,United Kingdom,170.72
538248,19674,PRODUTO TESTE,25,2011-08-29,38.58,10062,United Kingdom,964.5
537240,81359,PRODUTO TESTE,13,2011-02-08,9.58,10153,France,124.54
540747,42582,PRODUTO TESTE,18,2011-05-02,26.64,10166,United Kingdom,479.52
543985,85259,PRODUTO TESTE,17,2011-09-10,16.37,10087,United Kingdom,278.29
539377,64566,PRODUTO TESTE,36,2011-06-22,32.05,10160,United Kingdom,1153.8
536419,75855,PRODUTO TESTE,19,2011-09-18,11.03,10168,United Kingdom,209.57
544729,85404,PRODUTO TESTE,41,2011-08-21,39.87,10077,United Kingdom,1634.6699999999998
539998,90581,PRODUTO TESTE,6,2011-04-30,28.89,10179,Eire,173.34
537556,22922,PRODUTO TESTE,5,2011-06-06,47.89,10057,United Kingdom,239.45
541540,75143,PRODUTO TESTE,17,2011-12-19,35.73,10047,United Kingdom,607.41
544440,94952,PRODUTO TESTE,31,2011-01-13,41.54,10127,United Kingdom,1287.74
538645,66553,PRODUTO TESTE,16,2011-09-15,11.37,10027,Germany,181.92
540951,27338,PRODUTO TESTE,15,2011-06-29,31.82,10166,United Kingdom,477.3
540889,36346,PRODUTO TESTE,24,2011-01-01,19.82,10039,United Kingdom,475.68
540493,68004,PRODUTO TESTE,15,2011-01-09,1.71,10001,United Kingdom,25.65
536981,30633,PRODUTO TESTE,48,2011-04-27,21.67,10159,United Kingdom,1040.16
541793,83851,PRODUTO TESTE,29,2011-09-09,32.76,10157,United Kingdom,950.04
542824,74647,PRODUTO TESTE,26,2011-10-24,23.3,10156,United Kingdom,605.8000000000001
544550,16918,PRODUTO TESTE,22,2011-05-31,12.28,10132,United Kingdom,270.15999999999997
538932,35494,PRODUTO TESTE,20,2011-10-23,23.49,10094,United Kingdom,469.79999999999995
538566,86003,PRODUTO TESTE,46,2011-11-03,42.56,10141,United Kingdom,1957.7600000000002
540939,41574,PRODUTO TESTE,46,2011-06-13,10.74,10055,United Kingdom,494.04
542234,13382,PRODUTO TESTE,17,2011-03-05,18.68,10156,United Kingdom,317.56
544932,64349,PRODUTO TESTE,45,2011-08-29,49.52,10111,United Kingdom,2228.4
538144,60078,PRODUTO TESTE,12,2011-11-23,2.18,10101,United Kingdom,26.160000000000004
538361,97804,PRODUTO TESTE,11,2011-05-22,26.75,10113,France,294.25
538298,20270,PRODUTO TESTE,33,2011-10-05,3.74,10007,United Kingdom,123.42
540173,70070,PRODUTO TESTE,28,2011-09-26,46.23,10027,United Kingdom,1294.4399999999998
543856,68475,PRODUTO TESTE,20,2011-06-22,22.36,10049,United Kingdom,447.2
536278,98581,PRODUTO TESTE,9,2011-12-21,21.21,10022,United Kingdom,190.89000000000001
543342,56902,PRODUTO TESTE,22,2011-10-18,14.01,10087,United Kingdom,308.21999999999997
541559,83978,PRODUTO TESTE,9,2011-11-19,28.66,10133,United Kingdom,257.94
541536,23086,PRODUTO TESTE,22,2011-02-04,7.68,10130,United Kingdom,168.95999999999998
542104,13992,PRODUTO TESTE,13,2011-06-26,40.05,10094,United Kingdom,520.65
537038,74482,PRODUTO TESTE,43,2011-12-14,24.81,10171,United Kingdom,1066.83
542720,10342,PRODUTO TESTE,36,2011-10-24,28.54,10113,United Kingdom,1027.44
538233,88734,PRODUTO TESTE,4,2011-06-15,42.12,10015,United Kingdom,168.48
540649,11871,PRODUTO TESTE,46,2011-01-26,9.66,10152,United Kingdom,444.36
542091,71966,PRODUTO TESTE,31,2011-04-14,9.17,10114,France,284.27
541435,50671,PRODUTO TESTE,14,2011-07-28,21.33,10126,Eire,298.62
538908,68090,PRODUTO TESTE,24,2011-08-23,39.41,10113,United Kingdom,945.8399999999999
539564,66103,PRODUTO TESTE,5,2011-12-04,3.4,10110,United Kingdom,17.0
536371,53331,PRODUTO TESTE,18,2011-05-25,25.29,10111,United Kingdom,455.21999999999997
542534,55302,PRODUTO TESTE,38,2011-04-10,28.31,10158,Germany,1075.78
536899,70941,PRODUTO TESTE,14,2011-12-17,28.44,10060,United Kingdom,398.16
540127,73923,PRODUTO TESTE,16,2011-03-02,3.28,10120,United Kingdom,52.48
541894,50463,PRODUTO TESTE,49,2011-03-22,12.86,10006,United Kingdom,630.14
536723,41724,PRODUTO TESTE,49,2011-04-19,37.89,10069,United Kingdom,1856.6100000000001
544959,13830,PRODUTO TESTE,20,2011-02-08,20.91,10087,United Kingdom,418.2
536142,30354,PRODUTO TESTE,32,2011-07-11,47.27,10042,United Kingdom,1512.64
541927,49077,PRODUTO TESTE,34,2011-07-23,2.79,10055,United Kingdom,94.86
541018,99335,PRODUTO TESTE,45,2011-11-28,22.76,10081,France,1024.2
541762,80632,PRODUTO TESTE,47,2011-06-08,18.38,10198,United Kingdom,863.8599999999999
542759,41127,PRODUTO TESTE,29,2011-04-24,5.77,10170,United Kingdom,167.32999999999998
543440,39228,PRODUTO TESTE,8,2011-10-20,48.09,10046,United Kingdom,384.72
539331,66355,PRODUTO TESTE,34,2011-07-12,15.92,10164,Germany,541.28
540906,23751,PRODUTO TESTE,28,2011-03-03,47.36,10011,United Kingdom,1326.08
537426,95736,PRODUTO TESTE,18,2011-09-09,2.24,10171,United Kingdom,40.32000000000001
541579,98841,PRODUTO TESTE,17,2011-09-30,49.05,10056,United Kingdom,833.8499999999999
538354,36869,PRODUTO TESTE,34,2011-04-02,41.88,10183,United Kingdom,1423.92
542270,30741,PRODUTO TESTE,18,2011-07-23,11.11,10058,United Kingdom,199.98
543209,58531,PRODUTO TESTE,3,2011-07-25,30.18,10086,United Kingdom,90.53999999999999
543730,68213,PRODUTO TESTE,48,2011-03-05,40.02,10132,United Kingdom,1920.96
544361,67924,PRODUTO TESTE,14,2011-01-04,16.31,10025,United Kingdom,228.33999999999997
537100,13784,PRODUTO TESTE,10,2011-09-20,18.01,10111,United Kingdom,180.10000000000002
544335,15982,PRODUTO TESTE,20,2011-09-18,7.78,10156,United Kingdom,155.6
539427,40777,PRODUTO TESTE,49,2011-05-18,6.35,10199,Eire,311.15
536234,74506,PRODUTO TESTE,3,2011-07-08,12.87,10132,France,38.61
538582,89836,PRODUTO TESTE,8,2011-12-25,37.19,10081,United Kingdom,297.52
543525,67164,PRODUTO TESTE,4,2011-03-24,18.65,10081,United Kingdom,74.6
536690,71213,PRODUTO TESTE,28,2011-02-18,10.17,10162,United Kingdom,284.76
542498,13333,PRODUTO TESTE,11,2011-01-24,10.11,10064,United Kingdom,111.21
537751,30787,PRODUTO TESTE,36,2011-12-16,32.7,10033,United Kingdom,1177.2
539175,21136,PRODUTO TESTE,17,2011-02-17,5.86,10066,United Kingdom,99.62
536035,98639,PRODUTO TESTE,30,2011-08-28,33.56,10004,United Kingdom,1006.8000000000001
540007,60253,PRODUTO TESTE,13,2011-10-23,33.73,10018,United Kingdom,438.48999999999995
543803,81152,PRODUTO TESTE,17,2011-07-19,19.4,10154,United Kingdom,329.79999999999995
537841,99593,PRODUTO TESTE,18,2011-11-23,3.25,10139,United Kingdom,58.5
537493,24775,PRODUTO TESTE,20,2011-10-30,44.72,10092,United Kingdom,894.4
537801,45453,PRODUTO TESTE,17,2011-09-21,13.8,10143,United Kingdom,234.60000000000002
540059,46458,PRODUTO TESTE,22,2011-03-01,2.61,10032,United Kingdom,57.419999999999995
536784,81659,PRODUTO TESTE,38,2011-03-03,28.34,10180,United Kingdom,1076.92
539621,40211,PRODUTO TESTE,37,2011-07-01,11.61,10100,United Kingdom,429.57
542908,77955,PRODUTO TESTE,30,2011-09-01,40.21,10030,United Kingdom,1206.3
541735,54560,PRODUTO TESTE,44,2011-10-15,39.68,10099,United Kingdom,1745.92
544038,77280,PRODUTO TESTE,42,2011-02-07,30.22,10139,United Kingdom,1269.24
543021,44191,PRODUTO TESTE,12,2011-03-05,48.9,10099,United Kingdom,586.8
541873,53788,PRODUTO TESTE,38,2011-02-24,23.46,10089,Germany,891.48
543767,10821,PRODUTO TESTE,39,2011-07-17,2.45,10033,United Kingdom,95.55000000000001
537119,11453,PRODUTO TESTE,15,2011-08-20,41.06,10076,United Kingdom,615.9000000000001
543364,10031,PRODUTO TESTE,42,2011-02-12,11.45,10047,Germany,480.9
538658,25768,PRODUTO TESTE,29,2011-11-14,9.22,10060,United Kingdom,267.38
542597,41286,PRODUTO TESTE,36,2011-04-21,3.97,10136,United Kingdom,142.92000000000002
544219,14523,PRODUTO TESTE,36,2011-08-30,16.73,10126,United Kingdom,602.28
540464,24467,PRODUTO TESTE,37,2011-10-02,16.64,10121,United Kingdom,615.6800000000001
536798,86230,PRODUTO TESTE,47,2011-01-14,15.49,10072,United Kingdom,728.03
539332,86910,PRODUTO TESTE,42,2011-11-12,29.86,10191,Germany,1254.12
539661,36079,PRODUTO TESTE,18,2011-12-21,37.7,10017,Eire,678.6
544430,95181,PRODUTO TESTE,25,2011-12-16,46.92,10068,United Kingdom,1173.0
544482,20612,PRODUTO TESTE,30,2011-02-20,5.16,10023,United Kingdom,154.8
541116,12825,PRODUTO TESTE,42,2011-05-24,7.94,10067,United Kingdom,333.48
544555,41875,PRODUTO TESTE,16,2011-03-26,29.7,10192,United Kingdom,475.2
539926,33825,PRODUTO TESTE,12,2011-06-14,5.36,10073,United Kingdom,64.32000000000001
539700,16955,PRODUTO TESTE,35,2011-12-22,18.85,10181,United Kingdom,659.75
543528,86269,PRODUTO TESTE,47,2011-10-06,31.42,10099,United Kingdom,1476.74
542006,98096,PRODUTO TESTE,45,2011-10-09,39.14,10139,United Kingdom,1761.3
540701,34334,PRODUTO TESTE,3,2011-06-04,11.27,10091,United Kingdom,33.81
540110,38350,PRODUTO TESTE,45,2011-12-08,33.57,10053,United Kingdom,1510.65
542350,74653,PRODUTO TESTE,38,2011-12-02,32.47,10152,United Kingdom,1233.86
542781,93975,PRODUTO TESTE,3,2011-10-22,43.05,10193,France,129.14999999999998
536284,71444,PRODUTO TESTE,6,2011-08-26,37.63,10155,United Kingdom,225.78000000000003
536916,12082,PRODUTO TESTE,46,2011-02-04,37.72,10052,United Kingdom,1735.12
537297,60949,PRODUTO TESTE,36,2011-04-14,12.34,10143,United Kingdom,444.24
540158,98843,PRODUTO TESTE,26,2011-10-08,31.25,10157,Eire,812.5
541527,52794,PRODUTO TESTE,29,2011-04-30,33.92,10089,France,983.6800000000001
543233,67737,PRODUTO TESTE,17,2011-03-04,14.08,10147,United Kingdom,239.36
538092,71863,PRODUTO TESTE,44,2011-12-12,22.86,10054,United Kingdom,1005.8399999999999
543079,66905,PRODUTO TESTE,3,2011-06-28,22.07,10015,United Kingdom,66.21000000000001
541994,71764,PRODUTO TESTE,12,2011-11-11,38.79,10019,United Kingdom,465.48
536464,89803,PRODUTO TESTE,6,2011-04-14,0.53,10089,United Kingdom,3.18
539161,10946,PRODUTO TESTE,41,2011-05-12,25.3,10180,United Kingdom,1037.3
538723,89613,PRODUTO TESTE,24,2011-05-06,9.62,10025,United Kingdom,230.88
543979,91699,PRODUTO TESTE,32,2011-05-17,32.52,10091,United Kingdom,1040.64
544290,91360,PRODUTO TESTE,45,2011-06-09,34.18,10140,United Kingdom,1538.1
543373,43116,PRODUTO TESTE,5,2011-04-19,25.31,10040,United Kingdom,126.55
540752,62469,PRODUTO TESTE,48,2011-10-25,27.33,10144,United Kingdom,1311.84
540435,41794,PRODUTO TESTE,1,2011-04-30,16.1,10061,United Kingdom,16.1
538803,85627,PRODUTO TESTE,36,2011-06-11,16.01,10161,United Kingdom,576.36
542956,46592,PRODUTO TESTE,33,2011-11-11,37.38,10115,United Kingdom,1233.5400000000002
536776,38170,PRODUTO TESTE,40,2011-06-09,7.02,10109,United Kingdom,280.79999999999995
538440,71674,PRODUTO TESTE,3,2011-01-04,38.69,10035,United Kingdom,116.07
537216,14442,PRODUTO TESTE,47,2011-01-01,32.92,10092,United Kingdom,1547.24
540448,43841,PRODUTO TESTE,38,2011-06-09,44.28,10171,France,1682.64
538697,28565,PRODUTO TESTE,1,2011-08-25,13.38,10003,United Kingdom,13.38
537777,43644,PRODUTO TESTE,25,2011-12-11,25.56,10151,United Kingdom,639.0
539387,50386,PRODUTO TESTE,39,2011-02-17,2.43,10098,United Kingdom,94.77000000000001
543747,15711,PRODUTO TESTE,21,2011-07-18,45.67,10143,United Kingdom,959.07
541022,87818,PRODUTO TESTE,15,2011-04-16,33.93,10132,United Kingdom,508.95
543407,47497,PRODUTO TESTE,10,2011-06-14,31.33,10086,United Kingdom,313.29999999999995
544225,42292,PRODUTO TESTE,23,2011-06-11,36.77,10061,United Kingdom,845.71
544119,23452,PRODUTO TESTE,49,2011-04-25,14.57,10125,United Kingdom,713.9300000000001
539159,99620,PRODUTO TESTE,28,2011-01-07,30.39,10028,United Kingdom,850.9200000000001
543897,87002,PRODUTO TESTE,34,2011-01-27,40.15,10116,United Kingdom,1365.1
544184,53368,PRODUTO TESTE,37,2011-07-10,4.97,10018,United Kingdom,183.89
544636,40105,PRODUTO TESTE,37,2011-03-23,47.96,10129,United Kingdom,1774.52
539159,52073,PRODUTO TESTE,17,2011-04-30,44.65,10125,United Kingdom,759.05
538055,96477,PRODUTO TESTE,37,2011-02-03,48.17,10016,United Kingdom,1782.29
541258,29925,PRODUTO TESTE,13,2011-01-19,40.51,10151,United Kingdom,526.63
544386,71606,PRODUTO TESTE,27,2011-02-16,15.07,10083,United Kingdom,406.89
544105,91319,PRODUTO TESTE,11,2011-05-18,29.29,10157,United Kingdom,322.19
541140,78052,PRODUTO TESTE,46,2011-03-01,6.45,10008,United Kingdom,296.7
537343,88313,PRODUTO TESTE,35,2011-03-26,37.83,10035,United Kingdom,1324.05
539802,95296,PRODUTO TESTE,27,2011-04-21,8.11,10098,United Kingdom,218.96999999999997
542427,15399,PRODUTO TESTE,19,2011-04-17,43.41,10037,United Kingdom,824.79
541043,31503,PRODUTO TESTE,23,2011-01-05,12.41,10065,United Kingdom,285.43
539109,22997,PRODUTO TESTE,37,2011-02-12,8.44,10132,United Kingdom,312.28
539083,61055,PRODUTO TESTE,10,2011-12-13,4.01,10028,Germany,40.099999999999994
536537,46668,PRODUTO TESTE,40,2011-09-01,35.71,10135,United Kingdom,1428.4
538596,13665,PRODUTO TESTE,10,2011-02-15,9.72,10020,United Kingdom,97.2
542024,60181,PRODUTO TESTE,2,2011-04-14,10.28,10035,United Kingdom,20.56
538171,19068,PRODUTO TESTE,35,2011-05-20,8.9,10117,United Kingdom,311.5
544940,46657,PRODUTO TESTE,33,2011-11-27,15.64,10158,United Kingdom,516.12
536741,42992,PRODUTO TESTE,13,2011-11-18,47.09,10034,United Kingdom,612.1700000000001
541298,90422,PRODUTO TESTE,30,2011-10-09,24.59,10059,United Kingdom,737.7
540469,71424,PRODUTO TESTE,35,2011-02-08,13.41,10185,Germany,469.35
543499,66177,PRODUTO TESTE,38,2011-06-29,8.93,10197,United Kingdom,339.34
543989,84851,PRODUTO TESTE,47,2011-06-26,1.44,10116,United Kingdom,67.67999999999999
540891,26247,PRODUTO TESTE,41,2011-08-21,18.57,10089,United Kingdom,761.37
541671,33076,PRODUTO TESTE,19,2011-11-05,5.95,10069,Germany,113.05
542290,77708,PRODUTO TESTE,7,2011-04-28,1.84,10122,France,12.88
537663,11922,PRODUTO TESTE,26,2011-04-07,16.27,10058,France,423.02
539857,30185,PRODUTO TESTE,31,2011-03-18,37.67,10004,Germany,1167.77
538173,30438,PRODUTO TESTE,32,2011-04-25,3.82,10030,United Kingdom,122.24
541536,69517,PRODUTO TESTE,33,2011-06-09,31.22,10083,United Kingdom,1030.26
537883,14897,PRODUTO TESTE,38,2011-09-06,44.16,10096,United Kingdom,1678.08
538244,85722,PRODUTO TESTE,34,2011-09-10,9.61,10093,United Kingdom,326.74
543406,62699,PRODUTO TESTE,23,2011-05-13,39.82,10156,United Kingdom,915.86
537785,54742,PRODUTO TESTE,21,2011-01-17,48.84,10016,United Kingdom,1025.64
542418,97322,PRODUTO TESTE,30,2011-11-24,40.52,10055,France,1215.6000000000001
542449,34338,PRODUTO TESTE,26,2011-01-03,6.63,10097,United Kingdom,172.38
543435,60216,PRODUTO TESTE,26,2011-05-20,47.38,10134,Eire,1231.88
542839,10589,PRODUTO TESTE,23,2011-10-29,40.84,10098,United Kingdom,939.32
544927,84959,PRODUTO TESTE,25,2011-09-07,11.01,10088,United Kingdom,275.25
541173,61120,PRODUTO TESTE,12,2011-04-28,8.68,10187,United Kingdom,104.16
538581,25831,PRODUTO TESTE,28,2011-11-20,46.85,10032,United Kingdom,1311.8
543766,83583,PRODUTO TESTE,10,2011-02-20,8.21,10114,United Kingdom,82.10000000000001
538383,99029,PRODUTO TESTE,22,2011-09-02,38.97,10108,United Kingdom,857.3399999999999
538619,16168,PRODUTO TESTE,17,2011-07-09,20.56,10094,United Kingdom,349.52
543456,86116,PRODUTO TESTE,34,2011-03-17,36.33,10161,United Kingdom,1235.22
543934,76281,PRODUTO TESTE,44,2011-12-03,5.05,10053,United Kingdom,222.2
539054,41897,PRODUTO TESTE,29,2011-10-07,36.39,10190,Germany,1055.31
542564,67108,PRODUTO TESTE,2,2011-01-04,25.84,10066,United Kingdom,51.68
544301,80685,PRODUTO TESTE,31,2011-02-01,45.07,10109,United Kingdom,1397.17
543188,53141,PRODUTO TESTE,12,2011-01-21,9.83,10104,United Kingdom,117.96000000000001
541981,14350,PRODUTO TESTE,5,2011-06-02,10.21,10087,United Kingdom,51.050000000000004
537529,93276,PRODUTO TESTE,49,2011-09-22,4.39,10056,United Kingdom,215.10999999999999
543617,93120,PRODUTO TESTE,18,2011-09-04,49.02,10004,United Kingdom,882.36
536603,28923,PRODUTO TESTE,6,2011-01-06,6.58,10072,United Kingdom,39.480000000000004
544937,52969,PRODUTO TESTE,2,2011-06-23,10.44,10165,United Kingdom,20.88
537595,31484,PRODUTO TESTE,30,2011-10-14,40.58,10001,United Kingdom,1217.3999999999999
539781,45964,PRODUTO TESTE,36,2011-11-24,12.71,10179,United Kingdom,457.56000000000006
538106,34774,PRODUTO TESTE,14,2011-04-17,11.5,10108,United Kingdom,161.0
539541,72527,PRODUTO TESTE,14,2011-02-25,20.24,10060,Eire,283.35999999999996
542701,86101,PRODUTO TESTE,31,2011-05-05,41.86,10110,United Kingdom,1297.66
536604,81359,PRODUTO TESTE,1,2011-06-11,32.09,10063,United Kingdom,32.09
540075,75452,PRODUTO TESTE,9,2011-05-09,14.77,10021,United Kingdom,132.93
544342,84641,PRODUTO TESTE,20,2011-05-05,43.39,10134,United Kingdom,867.8
537878,80477,PRODUTO TESTE,4,2011-04-16,18.54,10023,United Kingdom,74.16
539549,21189,PRODUTO TESTE,5,2011-06-28,36.96,10056,United Kingdom,184.8
539682,17897,PRODUTO TESTE,1,2011-01-29,21.08,10048,United Kingdom,21.08
541089,78481,PRODUTO TESTE,35,2011-10-16,27.38,10131,United Kingdom,958.3
540836,45115,PRODUTO TESTE,21,2011-06-02,36.82,10146,United Kingdom,773.22
536953,39522,PRODUTO TESTE,47,2011-04-27,3.5,10145,France,164.5
542864,45687,PRODUTO TESTE,16,2011-11-27,23.02,10187,United Kingdom,368.32
538031,88073,PRODUTO TESTE,7,2011-09-29,5.21,10153,United Kingdom,36.47
538834,42732,PRODUTO TESTE,6,2011-02-19,36.39,10064,United Kingdom,218.34
543566,43320,PRODUTO TESTE,47,2011-02-23,30.59,10021,United Kingdom,1437.73
542206,45934,PRODUTO TESTE,27,2011-01-01,16.68,10122,Germany,450.36
539568,14887,PRODUTO TESTE,12,2011-07-24,4.28,10183,United Kingdom,51.36
544212,13371,PRODUTO TESTE,30,2011-05-10,46.33,10195,United Kingdom,1389.8999999999999
539546,47293,PRODUTO TESTE,25,2011-05-17,16.09,10046,United Kingdom,402.25
541089,11513,PRODUTO TESTE,1,2011-07-05,14.13,10047,United Kingdom,14.13
538213,78109,PRODUTO TESTE,33,2011-07-16,5.5,10007,France,181.5
537648,48194,PRODUTO TESTE,1,2011-01-01,29.08,10028,United Kingdom,29.08
540424,55083,PRODUTO TESTE,5,2011-02-09,13.65,10110,United Kingdom,68.25
541067,40245,PRODUTO TESTE,34,2011-10-16,42.22,10109,United Kingdom,1435.48
543252,78726,PRODUTO TESTE,19,2011-12-15,34.3,10074,United Kingdom,651.6999999999999
539518,48475,PRODUTO TESTE,7,2011-11-02,0.69,10061,United Kingdom,4.83
541466,53946,PRODUTO TESTE,27,2011-06-19,11.98,10092,United Kingdom,323.46000000000004
536631,25944,PRODUTO TESTE,33,2011-10-29,1.26,10161,United Kingdom,41.58
542651,63551,PRODUTO TESTE,6,2011-11-19,31.16,10192,United Kingdom,186.96
541173,60724,PRODUTO TESTE,17,2011-11-22,10.64,10063,United Kingdom,180.88
539504,52711,PRODUTO TESTE,13,2011-02-24,45.03,10040,United Kingdom,585.39
